Province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Newfoundland and Labrador,49.6,51.8,52.7,54.7,54.0,53.6,52.0,50.5,50.1,50.9,50.3,50.4
Prince Edward Island,60.3,58.9,60.6,61.9,61.2,60.7,59.9,59.0,59.8,60.1,61.6,58.6
Nova Scotia,58.0,57.6,58.3,57.7,57.0,57.1,56.0,56.6,56.4,57.1,57.2,56.3
New Brunswick,58.3,57.6,57.0,56.3,56.8,56.5,56.2,56.5,56.2,56.2,56.1,55.7
Quebec,59.4,60.0,59.0,60.2,60.0,59.4,59.7,60.4,61.2,61.2,61.4,59.0
Ontario,60.5,61.0,61.0,60.9,60.9,60.7,60.6,60.6,60.9,60.7,61.5,58.6
Manitoba,65.2,65.5,64.8,65.3,64.2,64.6,63.8,62.9,63.0,63.5,62.9,60.0
Saskatchewan,66.3,66.2,65.7,66.9,66.5,66.2,65.8,64.6,63.9,64.6,64.4,61.7
Alberta,68.7,68.3,70.0,69.8,69.3,69.2,67.2,66.1,66.6,66.5,65.1,61.6
British Columbia,60.4,60.3,60.1,60.0,59.7,59.8,60.4,61.5,62.6,62.9,62.0,60.1
