index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
1,Advanced Facial & Nasal Surgery Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5M 4G5,edmonton,Alberta,,Edmonton,,48,,
10,Alberta Children's Hospital,pediatric,Hospitals,Public Health Agency of Canada,,28,oki dr nw,T3B 6A8,calgary,Alberta,28 Oki Dr NW,Calgary,4806016.0,48,51.074582,-114.148426
100,Devon General Hospital,general,Hospitals,Public Health Agency of Canada,,101,erie st s,T9G 1A6,devon,Alberta,101 erie st. s. devon Alberta t9g 1a6,Devon,4811018.0,48,53.351493000000000,-113.73078500000000
101,Didsbury District Health Services,general,Hospitals,Public Health Agency of Canada,,1210,20 ave,T0M 0W0,didsbury,Alberta,1210 - 20th ave. didsbury Alberta t0m 0w0,Didsbury,4806032.0,48,51.661795,-114.123674
102,Dr. Bryan Murray Professional Corporation,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T1J 2B9,lethbridge,Alberta,,Lethbridge,,48,,
103,Dr. Cooke Extended Care Centre,,Nursing and residential care facilities,Saskatchewan Health Authorities,,3915,56 avenue,T9V 1N9,lloydminster,Alberta,"3915 – 56 avenue lloydminster, Alberta t9v 1n9",Lloydminster (Part),4810039.0,48,53.273049,-110.01916400000000
104,Dr. w. r. Keir - Barrhead Continuing Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T7N 1L2,barrhead,Alberta,,Barrhead,,48,,
106,Drayton Valley Hospital & Care Centre,general,Hospitals,Public Health Agency of Canada,,4550,madsen ave,T7A 1N8,drayton valley,Alberta,4550 madsen ave. drayton valley Alberta t7a 1n8,Drayton Valley,4811031.0,48,53.211841,-114.96919300000000
108,Drumheller Health Centre,general,Hospitals,Public Health Agency of Canada,,351,9 st nw,T0J 0Y1,drumheller,Alberta,351 - 9th st. n.w. drumheller Alberta t0j 0y1,Drumheller,4805026.0,48,51.4698073,-112.7259344
109,East Edmonton Health Centre,active acute hospital,Hospitals,Canadian Institute for Health Information,,,,T5B 0C2,edmonton,Alberta,,Edmonton,,48,,
11,Alberta Hip and Knee Clinic,other,Hospitals,Canadian Institute for Health Information,,,,T5E 5R8,edmonton,Alberta,,Edmonton,,48,,
110,Edmonton Chinatown Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5H 0G2,edmonton,Alberta,,Edmonton,,48,,
111,Edson Healthcare Centre,general,Hospitals,Public Health Agency of Canada,,4716,5 ave,T7E 1S8,edson,Alberta,4716 - 5th ave. edson Alberta t7e 1s8,Edson,4814024.0,48,53.59182,-116.40700000000000
112,Elk Point Healthcare Centre,general,Hospitals,Public Health Agency of Canada,,5310,50 ave,T0A 1A0,elk point,Alberta,5310 - 50 ave. elk point Alberta t0a 1a0,Elk Point,4812016.0,48,53.8969745,-110.9058049
113,Extendicare — AthAlbertaasca,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9S 1K4,athAlbertaasca,Alberta,,AthAlbertaasca,,48,,
114,Extendicare — Bonnyville,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9N 2E8,bonnyville,Alberta,,Bonnyville,,48,,
115,Extendicare — Cedars Villa,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T3C 0E7,calgary,Alberta,,Calgary,,48,,
116,Extendicare — Eaux Claires,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T5Z 0G7,edmonton,Alberta,,Edmonton,,48,,
117,Extendicare — Fort Macleod,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L 0Z0,fort macleod,Alberta,,Fort Macleod,,48,,
118,Extendicare — Hillcrest,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2N 1C1,calgary,Alberta,,Calgary,,48,,
119,Extendicare — Holyrood,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T6C 2T1,edmonton,Alberta,,Edmonton,,48,,
12,Alberta Hospital Edmonton,psychiatric,Hospitals,Public Health Agency of Canada,,17480,fort rd,T5J 2J7,edmonton,Alberta,17480 fort rd. edmonton Alberta t5j 2j7,Edmonton,4811061.0,48,53.636387,-113.374023
120,Extendicare — Leduc,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T9E 6K6,leduc,Alberta,,Leduc,,48,,
121,Extendicare — Mayerthorpe,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0E 1N0,mayerthorpe,Alberta,,Mayerthorpe,,48,,
122,Extendicare — Michener Hill,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T4P 0M1,red deer,Alberta,,Red Deer,,48,,
123,Extendicare — St Paul,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0A 3A0,st paul,Alberta,,St. Paul,,48,,
124,Extendicare — Viking,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0B 4N0,viking,Alberta,,Viking,,48,,
125,Extendicare — Vulcan,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T0L 2B0,vulcan,Alberta,,Vulcan,,48,,
126,Eye q Premium Laser,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5N 1R8,edmonton,Alberta,,Edmonton,,48,,
127,Fairview Health Complex,general,Hospitals,Public Health Agency of Canada,,10628,110 st,T0H 1L0,fairview,Alberta,10628 - 110 st. fairview Alberta t0h 1l0,Fairview,4819068.0,48,56.070965600000000,-118.3845521
128,Father Lacombe Care Society — Father Lacombe Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X 2A3,calgary,Alberta,,Calgary,,48,,
129,Father Lacombe Care Society — Providence Care Centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,T2X 0X2,calgary,Alberta,,Calgary,,48,,
13,Alberta Surgical Centre,other,Ambulatory health care services,Canadian Institute for Health Information,,,,T5M 3Z7,edmonton,Alberta,,Edmonton,,48,,
130,Foothills Medical Centre,general,Hospitals,Public Health Agency of Canada,,1403,29 st nw,T2N 2T9,calgary,Alberta,1403 - 29th st. n.w. calgary Alberta t2n 2t9,Calgary,4806016.0,48,51.0642833,-114.13394780000000
131,Fort Macleod Health Centre,general,Hospitals,Public Health Agency of Canada,,744,26 st s,T0L 0Z0,fort macleod,Alberta,"744 - 26th st., s. fort macleod Alberta t0l 0z0",Fort Macleod,4803019.0,48,49.726332,-113.3932472
132,Fort Mcmurray Community Cancer Centre,,Hospitals,Province of Alberta,,7,hospital street,T9H 1P2,fort mcmurray,Alberta,"7 hospital street fort mcmurray, alberta t9h 1p2",Wood Buffalo,4816037.0,48,56.7176831,-111.36180060000000
