"REF_DATE","GEO","DGUID","Level of study","Field of study","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Both sexes","Number of graduates","Number","223","units","0","v1233934339","1.1.1.1.1","419130","A","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Both sexes","Average age at graduation","Years","308","units","0","v1233934340","1.1.1.1.2","27","A","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Both sexes","Median age at graduation","Years","308","units","0","v1233934341","1.1.1.1.3","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Both sexes","Under age 25 at graduation","Percent","239","units","0","v1233934342","1.1.1.1.4","56","","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Both sexes","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934343","1.1.1.1.5","40","","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Males","Number of graduates","Number","223","units","0","v1233934344","1.1.1.2.1","174260","A","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Males","Average age at graduation","Years","308","units","0","v1233934345","1.1.1.2.2","26","A","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Males","Median age at graduation","Years","308","units","0","v1233934346","1.1.1.2.3","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Males","Under age 25 at graduation","Percent","239","units","0","v1233934347","1.1.1.2.4","55","","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Males","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934348","1.1.1.2.5","39","","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Females","Number of graduates","Number","223","units","0","v1233934349","1.1.1.3.1","244890","A","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Females","Average age at graduation","Years","308","units","0","v1233934350","1.1.1.3.2","27","A","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Females","Median age at graduation","Years","308","units","0","v1233934351","1.1.1.3.3","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Females","Under age 25 at graduation","Percent","239","units","0","v1233934352","1.1.1.3.4","56","","","","0"
"2015","Canada","2016A000011124","All levels of study","All fields of study","Females","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934353","1.1.1.3.5","41","","","","0"
