REF_DATE,GEO,DGUID,New housing price indexes,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2010-01,Canada,2016A000011124,Total (house and land),"Index, 201612=100",347,units ,0,v111955442,1.1,87.1,,,,1
2010-01,Canada,2016A000011124,House only,"Index, 201612=100",347,units ,0,v111955443,1.2,85.2,,,,1
2010-01,Canada,2016A000011124,Land only,"Index, 201612=100",347,units ,0,v111955444,1.3,91.4,,,,1
2010-01,Atlantic Region,2016A00011,Total (house and land),"Index, 201612=100",347,units ,0,v111955445,2.1,92.9,,,,1
2010-01,Atlantic Region,2016A00011,House only,"Index, 201612=100",347,units ,0,v111955446,2.2,93.6,,,,1
2010-01,Atlantic Region,2016A00011,Land only,"Index, 201612=100",347,units ,0,v111955447,2.3,90.4,,,,1
2010-01,Newfoundland and Labrador,2016A000210,Total (house and land),"Index, 201612=100",347,units ,0,v111955448,3.1,91.5,,,,1
2010-01,Newfoundland and Labrador,2016A000210,House only,"Index, 201612=100",347,units ,0,v111955449,3.2,92.9,,,,1
2010-01,Newfoundland and Labrador,2016A000210,Land only,"Index, 201612=100",347,units ,0,v111955450,3.3,87.4,,,,1
2010-01,"St. John's, Newfoundland and Labrador",2011S05031,Total (house and land),"Index, 201612=100",347,units ,0,v111955451,4.1,91.5,,,,1
2010-01,"St. John's, Newfoundland and Labrador",2011S05031,House only,"Index, 201612=100",347,units ,0,v111955452,4.2,92.9,,,,1
2010-01,"St. John's, Newfoundland and Labrador",2011S05031,Land only,"Index, 201612=100",347,units ,0,v111955453,4.3,87.4,,,,1
2010-01,Prince Edward Island,2016A000211,Total (house and land),"Index, 201612=100",347,units ,0,v111955454,5.1,99.3,,,,1
2010-01,Prince Edward Island,2016A000211,House only,"Index, 201612=100",347,units ,0,v111955455,5.2,101.2,,,,1
2010-01,Prince Edward Island,2016A000211,Land only,"Index, 201612=100",347,units ,0,v111955456,5.3,92.0,,,,1
2010-01,"Charlottetown, Prince Edward Island",2011S0504105,Total (house and land),"Index, 201612=100",347,units ,0,v111955457,6.1,99.3,,,,1
2010-01,"Charlottetown, Prince Edward Island",2011S0504105,House only,"Index, 201612=100",347,units ,0,v111955458,6.2,101.2,,,,1
2010-01,"Charlottetown, Prince Edward Island",2011S0504105,Land only,"Index, 201612=100",347,units ,0,v111955459,6.3,92.0,,,,1
2010-01,Nova Scotia,2016A000212,Total (house and land),"Index, 201612=100",347,units ,0,v111955460,7.1,91.4,,,,1
2010-01,Nova Scotia,2016A000212,House only,"Index, 201612=100",347,units ,0,v111955461,7.2,90.6,,,,1
2010-01,Nova Scotia,2016A000212,Land only,"Index, 201612=100",347,units ,0,v111955462,7.3,94.4,,,,1
2010-01,"Halifax, Nova Scotia",2011S0503205,Total (house and land),"Index, 201612=100",347,units ,0,v111955463,8.1,91.4,,,,1
2010-01,"Halifax, Nova Scotia",2011S0503205,House only,"Index, 201612=100",347,units ,0,v111955464,8.2,90.6,,,,1
2010-01,"Halifax, Nova Scotia",2011S0503205,Land only,"Index, 201612=100",347,units ,0,v111955465,8.3,94.4,,,,1
2010-01,New Brunswick,2016A000213,Total (house and land),"Index, 201612=100",347,units ,0,v111955466,9.1,96.4,,,,1
2010-01,New Brunswick,2016A000213,House only,"Index, 201612=100",347,units ,0,v111955467,9.2,97.3,,,,1
2010-01,New Brunswick,2016A000213,Land only,"Index, 201612=100",347,units ,0,v111955468,9.3,93.6,,,,1
2010-01,"Saint John, Fredericton, and Moncton, New Brunswick",,Total (house and land),"Index, 201612=100",347,units ,0,v111955469,10.1,96.4,,,,1
2010-01,"Saint John, Fredericton, and Moncton, New Brunswick",,House only,"Index, 201612=100",347,units ,0,v111955470,10.2,97.3,,,,1
