Province,"On or after October 1, 2016","July 1, 2016 to September 30, 2016","April 1, 2013 to June 30, 2016","July 1, 2010 to March 31, 2013","January 1, 2008 to June 30, 2010"
Alberta,5%,5%,5%,5%,5%
British Columbia,5%,5%,5%,12%,5%
Manitoba,5%,5%,5%,5%,5%
New Brunswick,15%,15%,13%,13%,13%
Newfoundland and Labrador,15%,15%,13%,13%,13%
Northwest Territories,5%,5%,5%,5%,5%
Nova Scotia,15%,15%,15%,15%,13%
Nunavut,5%,5%,5%,5%,5%
Ontario,13%,13%,13%,13%,5%
Quebec,5%,5%,5%,5%,5%
Prince Edward Island,15%,14%,14%,5%,5%
Saskatchewan,5%,5%,5%,5%,5%
Yukon,5%,5%,5%,5%,5%
